,ID,Gender,Age,RT,BOT,PR,BR,Social_Rep,Prog_Beh,Score,A_rating,B_rating,C_rating,D_rating
0,13,female,20,3.65163993317,A,yes,Defect,High,Bad,-50.0,2.6,2.5,3.0,4.2
1,13,female,20,2.03371572439,D,yes,Cooperate,High,Good,50.0,2.6,2.5,3.0,4.2
2,13,female,20,2.44429687532,A,no,none,High,Bad,50.0,2.6,2.5,3.0,4.2
3,13,female,20,1.43300475825,D,yes,Cooperate,High,Good,150.0,2.6,2.5,3.0,4.2
4,13,female,20,2.34044367901,B,no,none,Low,Good,150.0,2.6,2.5,3.0,4.2
5,13,female,20,2.81448320243,C,yes,Defect,Low,Bad,100.0,2.6,2.5,3.0,4.2
6,13,female,20,2.68760699902,B,yes,Cooperate,Low,Good,200.0,2.6,2.5,3.0,4.2
7,13,female,20,1.57124595097,C,no,none,Low,Bad,200.0,2.6,2.5,3.0,4.2
8,13,female,20,1.48318396237,B,yes,Cooperate,Low,Good,300.0,2.6,2.5,3.0,4.2
9,13,female,20,3.46418432365,D,yes,Cooperate,High,Good,400.0,2.6,2.5,3.0,4.2
10,13,female,20,1.53236604852,A,no,none,High,Bad,400.0,2.6,2.5,3.0,4.2
11,13,female,20,0.866257897913,B,yes,Cooperate,Low,Good,500.0,2.6,2.5,3.0,4.2
12,13,female,20,1.66577047505,B,yes,Cooperate,Low,Good,600.0,2.6,2.5,3.0,4.2
13,13,female,20,1.83240002135,C,yes,Defect,Low,Bad,550.0,2.6,2.5,3.0,4.2
14,13,female,20,1.99229401791,D,yes,Cooperate,High,Good,650.0,2.6,2.5,3.0,4.2
15,13,female,20,5.02290394824,C,yes,Cooperate,Low,Bad,750.0,2.6,2.5,3.0,4.2
16,13,female,20,1.94280658683,C,yes,Defect,Low,Bad,700.0,2.6,2.5,3.0,4.2
17,13,female,20,3.71260679375,A,no,none,High,Bad,700.0,2.6,2.5,3.0,4.2
18,13,female,20,1.10794430509,A,yes,Defect,High,Bad,650.0,2.6,2.5,3.0,4.2
19,13,female,20,1.32263360251,A,no,none,High,Bad,650.0,2.6,2.5,3.0,4.2
20,13,female,20,2.76349367962,B,no,none,Low,Good,650.0,2.6,2.5,3.0,4.2
21,13,female,20,1.00551724917,A,no,none,High,Bad,650.0,2.6,2.5,3.0,4.2
22,13,female,20,0.822398563905,B,no,none,Low,Good,650.0,2.6,2.5,3.0,4.2
23,13,female,20,0.75889503114,B,no,none,Low,Good,650.0,2.6,2.5,3.0,4.2
24,13,female,20,0.936034600971,B,yes,Cooperate,Low,Good,750.0,2.6,2.5,3.0,4.2
25,13,female,20,0.956289489564,D,yes,Defect,High,Good,700.0,2.6,2.5,3.0,4.2
26,13,female,20,1.25950212869,D,yes,Defect,High,Good,650.0,2.6,2.5,3.0,4.2
